time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
"Sat Dec 02 2017","Mostly cloudy until afternoon.","partly-cloudy-day",1512218337,1512254239,0.46,0,0,,0,,66.84,1512244800,37.04,1512306000,66.84,1512244800,37.04,1512306000,47.43,0.82,1021.08,0.15,3.96,1512244800,235,0.35,,,8.76,,43.82,1512277200,66.84,1512244800,43.82,1512277200,66.84,1512244800
"Sun Dec 03 2017","Partly cloudy in the morning.","partly-cloudy-day",1512304788,1512340634,0.51,0,0,,0,,67.16,1512331200,42.88,1512374400,67.16,1512331200,42.88,1512374400,41.44,0.76,1022.34,0.15,3.48,1512320400,78,0.12,,,7.73,,37.04,1512306000,67.16,1512331200,37.04,1512306000,67.16,1512331200
"Mon Dec 04 2017","Mostly cloudy starting in the evening.","partly-cloudy-night",1512391239,1512427032,0.54,0,0.0002,1512406800,0,,64.09,1512417600,57.66,1512446400,64.09,1512417600,57.66,1512446400,48.23,0.79,1021.04,3.42,15.1,1512406800,154,0.25,,,9.72,,42.88,1512374400,64.09,1512417600,42.88,1512374400,64.09,1512417600
"Tue Dec 05 2017","Heavy rain until afternoon.","rain",1512477688,1512513431,0.58,0.0618,0.3168,1512486000,0.98,"rain",60.93,1512478800,35.52,1512561600,61.14,1512478800,35.52,1512561600,51.64,0.91,1019.75,0.16,12.02,1512511200,216,0.87,,,7.36,,40.44,1512536400,61.37,1512471600,39.54,1512532800,61.41,1512471600
"Wed Dec 06 2017","Partly cloudy throughout the day.","partly-cloudy-day",1512564137,1512599832,0.62,0,0,,0,,47.3,1512590400,35.74,1512651600,47.3,1512590400,35.74,1512651600,31.4,0.71,1023.96,0.78,5.73,1512550800,347,0.3,,,10,,35.52,1512561600,47.3,1512590400,35.52,1512561600,47.3,1512590400
"Thu Dec 07 2017","Mostly cloudy throughout the day.","partly-cloudy-night",1512650585,1512686235,0.65,0,0.0002,1512684000,0,,47.3,1512673200,29.42,1512734400,47.3,1512673200,24.98,1512727200,32.41,0.73,1022.5,1.36,8.88,1512698400,348,0.35,,,9.95,,35.74,1512651600,47.3,1512673200,33.65,1512705600,47.3,1512673200
"Fri Dec 08 2017","Mostly cloudy throughout the day.","partly-cloudy-day",1512737032,1512772640,0.69,0,0,,0,,33.89,1512759600,22.62,1512824400,33.89,1512759600,22.62,1512824400,23.19,0.7,1019.16,2.71,9.01,1512712800,4,0.87,,,9.95,,29.42,1512734400,34.62,1512712800,24.98,1512727200,33.89,1512716400
"Sat Dec 09 2017","Mostly cloudy until evening.","partly-cloudy-day",1512823477,1512859047,0.73,0,0,,0,,44.88,1512849600,21.59,1512910800,40.72,1512853200,21.59,1512910800,22.76,0.65,1017.88,2.41,14.9,1512849600,284,0.37,,,9.72,,22.62,1512824400,44.88,1512849600,22.62,1512824400,40.72,1512853200
"Sun Dec 10 2017","Clear throughout the day.","clear-day",1512909922,1512945456,0.76,0,0,,0,,48.69,1512939600,29.16,1512997200,47.69,1512939600,29.16,1512997200,24.17,0.7,1024.78,1.31,9.25,1512936000,226,0,,,9.66,,21.59,1512910800,48.69,1512939600,21.59,1512910800,47.69,1512939600
"Mon Dec 11 2017","Clear throughout the day.","clear-day",1512996365,1513031867,0.8,0,0,,0,,59.87,1513026000,40.63,1513069200,59.87,1513026000,40.63,1513069200,31.96,0.66,1018.7,1.31,8.33,1513026000,209,0,,,9.97,,29.16,1512997200,59.87,1513026000,29.16,1512997200,59.87,1513026000
